Name,BSE_code,NSE_code,Industry,Current_Price,Market_Capitalization
Eighty Jewellers,543518,,Trading, 47 , 47 
Tijaria Polypipe,533629,TIJARIA,Plastics Products, 17 , 47 
Tejnaksh Health.,539428,,Healthcare, 23 , 48 
Super Spinning,521180,SUPERSPIN,Miscellaneous, 9 , 48 
Vertex Secur.,531950,,Finance & Investments, 6 , 48 
G G Dandekar,505250,,Miscellaneous, 100 , 48 
Libas Consumer,,LIBAS,Food - Processing - Indian, 18 , 48 
AA Plus Trade,543319,,Trading, 20 , 48 
Standard Battery,504180,,Trading, 92 , 48 
Simplex Realty,503229,,Construction, 160 , 48 
Shanthala,,SHANTHALA,Trading, 72 , 48 
Sonal Adhesives,526901,,Packaging, 79 , 48 
Kiduja India,507946,,Finance & Investments, 240 , 48 
Faalcon Concepts,544164,FAALCON,Construction, 70 , 48 
Acrow India,513149,,Diversified - Medium / Small, 750 , 48 
Cyber Media Res.,,CMRSL,Computers - Software - Medium / Small, 164 , 48 
Mehta Housg. Fin,511740,,Trading, 156 , 48 
Solitaire Mach.,522152,,Engineering, 106 , 48 
Inditrade Cap.,532745,,Finance & Investments, 21 , 48 
STL Global,532730,SGL,Textiles - Processing, 18 , 48 
Yasons Chemex,,YCCL,Dyes And Pigments, 25 , 48 
Shree Ram Prote.,,SRPL,Solvent Extraction, 1 , 48 
Morgan Ventures,526237,,Finance & Investments, 49 , 49 
Mohit Paper Mill,530169,,Paper, 35 , 49 
Future Lifestyle,536507,FLFL,Trading, 2 , 49 
Restile Ceramics,515085,,Ceramics - Tiles / Sanitaryware, 5 , 49 
Gogia Capital,531600,,Finance & Investments, 77 , 49 
CCL Internationa,531900,,Construction, 25 , 49 
Gayatri BioOrga.,524564,,Miscellaneous, 6 , 49 
Super Crop Safe,530883,,Pesticides / Agrochemicals - Indian, 12 , 49 
The Ravalgaon,507300,,Food - Processing - Indian," 1,440 ", 49 
Wires & Fabriks,507817,,Textiles - Products, 160 , 49 
Walpar Nutrition,,WALPAR,Pharmaceuticals - Indian - Bulk Drugs & Formln, 105 , 49 
Vista Pharma.,524711,,Pharmaceuticals - Indian - Formulations, 13 , 49 
Fervent Synerg.,533896,,Trading, 16 , 49 
Simran Farms,519566,,Miscellaneous, 130 , 49 
LCC Infotech,532019,LCCINFOTEC,Computers - Education, 4 , 49 
ARSS Infra,533163,ARSSINFRA,Construction, 22 , 49 
Italian,,ITALIANE,Food - Processing - Indian, 33 , 49 
Binani Industrie,500059,BINANIIND,Miscellaneous, 16 , 49 
Prime Property,530695,,Construction, 29 , 50 
Shine Fashions,543244,,Trading, 177 , 50 
Reliable Data,,RELIABLE,Computers - Software - Medium / Small, 48 , 50 
TGB Banquets,532845,TGBHOTELS,Hotels, 17 , 50 
Contil India,531067,,Trading, 161 , 50 
Comfort Fincap,535267,,Finance & Investments, 9 , 50 
Ceeta Industries,514171,,Food - Processing - Indian, 34 , 50 
Vivanta Indust.,541735,,Miscellaneous, 4 , 50 
Ladderup Finance,530577,,Finance & Investments, 39 , 50 
Ashoka Metcast,540923,ASHOKAMET,Trading, 20 , 50 
Containe Tech.,543606,,Auto Ancillaries, 80 , 50 
Medico Intercon.,539938,,Trading, 50 , 50 
Destiny Logistic,,DESTINY,Construction, 33 , 50 
H P Cotton Tex,502873,,Textiles - Cotton/Blended, 128 , 50 
Telogica,532975,,Trading, 21 , 50 
Unison Metals,538610,,Steel - Medium / Small, 31 , 50 
Victoria Mills,503349,,Construction," 5,099 ", 50 
Modipon,503776,,Construction, 44 , 51 
Haryana Leather,524080,,Chemicals, 103 , 51 
Sonu Infratech,,SONUINFRA,Construction, 65 , 51 
Standard Surfact,526231,,Detergents / Intermediates, 62 , 51 
GKB Ophthalmics,533212,,Personal Care - Indian, 101 , 51 
ERP Soft Systems,530909,,Computers - Software - Medium / Small, 129 , 51 
Hindoo. Mills,509895,,Textiles - Products, 308 , 51 
Mishka Exim,539220,,Trading, 36 , 51 
D.K. Enterprises,,DKEGL,Packaging, 68 , 51 
Guj. Credit Corp,511441,,Construction, 21 , 52 
Nidan Laborator.,,NIDAN,Healthcare, 37 , 52 
Valencia Nutrit.,542910,,Food - Processing - Indian, 37 , 52 
Greenhitech,544163,,Miscellaneous, 110 , 52 
Winny Immigratio,,WINNY,Miscellaneous, 240 , 52 
Smiths & Founder,513418,,Castings & Forgings, 5 , 52 
Sacheta Metals,531869,,Aluminium and Aluminium Products, 21 , 52 
PCS Technology,517119,,Computers - Software - Medium / Small, 25 , 52 
Bonlon Industrie,543211,,Trading, 37 , 52 
Sainik Finance,530265,,Finance & Investments, 48 , 53 
Earthstahl &All.,543765,,Steel - Medium / Small, 43 , 53 
Maks Energy,,MAKS,Electric Equipment, 76 , 53 
Archidply Decor,543231,ADL,Miscellaneous, 95 , 53 
NHC Foods,517554,,Trading, 45 , 53 
Johnson Pharma,532154,,Trading, 1 , 53 
Artefact Project,531297,,Miscellaneous, 73 , 53 
Kaiser Corporat.,531780,,Printing & Stationery, 10 , 53 
Jet Knitwears,,JETKNIT,Textiles - Products, 120 , 53 
Visagar Finan.,531025,,Finance & Investments, 1 , 53 
Nandani Creation,,JAIPURKURT,Textiles - Products, 46 , 53 
Guj. Craft Inds,526965,,Packaging, 109 , 53 
G S Auto Intl.,513059,,Auto Ancillaries, 37 , 53 
Ashirwad Cap.,512247,,Finance & Investments, 6 , 53 
Gretex Industrie,,GRETEX,Trading, 127 , 54 
Pearl Polymers,523260,PEARLPOLY,Trading, 32 , 54 
Balurghat Tech,520127,,Miscellaneous, 30 , 54 
City Pulse Multi,542727,,Entertainment / Electronic Media Software, 162 , 54 
Macro Intl.,512600,,Pharmaceuticals - Indian - Bulk Drugs & Formln, 55 , 54 
Laxmi Cotspin,,LAXMICOT,Textiles - Cotton/Blended, 31 , 54 
Yash Chemex,539939,,Trading, 53 , 54 
Vineet Laborator,543298,VINEETLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln, 59 , 54 
Addi Industries,507852,,Textiles - Products, 50 , 54 
Phosphate Co,542123,,Fertilizers, 150 , 54 
Yamini Invest,511012,,Finance & Investments, 1 , 54 
TECIL Chemical,506680,TECILCHEM,Chemicals, 29 , 54 
Kanani Industrie,506184,KANANIIND,Diamond Cutting / Jewellery, 3 , 54 
Sh. Krishna Pap.,500388,,Paper, 40 , 54 
Arigato Universe,530267,,Engineering, 89 , 55 
C P S Shapers,,CPS,Textiles - Products, 260 , 55 
Integra Switch,517423,,Electric Equipment, 172 , 55 
Vasudhagama Ent.,539291,,Trading, 32 , 55 
Manjeera Constr.,533078,,Construction, 44 , 55 
